G,L,Time (s),Primes
4096,1,2.32002854347229,6434289
4096,2,2.361931562423706,3219232
4096,4,2.9054505825042725,1603160
4096,8,0.9749197959899902,805657
4096,16,2.2133359909057617,400631
4096,32,2.525970935821533,201500
4096,64,2.5286943912506104,201500
4096,128,2.5734503269195557,201500
8192,1,2.8904995918273926,6429704
8192,2,3.2677648067474365,3208209
8192,4,2.2621500492095947,1609428
8192,8,1.364044189453125,805657
8192,16,0.6907463073730469,400631
8192,32,0.8494620323181152,201500
8192,64,0.8595032691955566,201500
8192,128,0.8503878116607666,200009
16384,1,1.9604763984680176,6422499
16384,2,1.8301193714141846,3214442
16384,4,1.589878797531128,1607789
16384,8,1.359278678894043,804836
16384,16,0.9220728874206543,400631
16384,32,0.7116174697875977,201500
16384,64,0.7145042419433594,201500
16384,128,0.7137508392333984,200707
32768,1,1.8625125885009766,6425843
32768,2,1.6109495162963867,3213753
32768,4,1.3885347843170166,1605877
32768,8,1.1390554904937744,804500
32768,16,0.9068570137023926,400223
32768,32,0.7048923969268799,201103
32768,64,0.7093403339385986,201088
32768,128,0.6781399250030518,201500
65536,1,1.8087785243988037,6416372
65536,2,1.5751686096191406,3211656
65536,4,1.5345654487609863,1604389
65536,8,1.0422406196594238,803458
65536,16,0.7964861392974854,399853
65536,32,0.6417737007141113,200933
65536,64,0.6599400043487549,201309
65536,128,0.6399827003479004,200937
131072,1,1.9982070922851562,6404286
131072,2,2.108492136001587,3208786
131072,4,1.4604277610778809,1605051
131072,8,0.9717481136322021,803718
131072,16,0.6911971569061279,398929
131072,32,0.5947737693786621,200900
131072,64,0.5794732570648193,200855
131072,128,0.5770294666290283,201011
262144,1,1.8201079368591309,6377818
262144,2,1.5322458744049072,3202583
262144,4,1.2388699054718018,1602569
262144,8,0.9044921398162842,802976
262144,16,0.6424577236175537,399177
262144,32,0.537456750869751,201209
262144,64,0.5418510437011719,200724
262144,128,0.5382735729217529,200787
524288,1,1.7570528984069824,6333553
524288,2,1.5214970111846924,3188137
524288,4,1.2290499210357666,1599237
524288,8,0.8904209136962891,800855
524288,16,0.6225736141204834,398484
524288,32,0.5188415050506592,200360
524288,64,0.5199673175811768,200538
524288,128,0.5181481838226318,200897
1048576,1,1.7496869564056396,6230296
1048576,2,1.5170066356658936,3159664
1048576,4,1.2945334911346436,1588971
1048576,8,1.0128917694091797,797782
1048576,16,0.6172854900360107,397687
1048576,32,0.5271549224853516,200253
1048576,64,0.5322823524475098,200259
1048576,128,0.5095460414886475,200368
